"Process Identity is not set.","Process Identity is not set."
"Export File is empty","Export File is empty"
"Something went wrong","Something went wrong"
"Amasty Export","Amasty Export"
Export,Export
"Process Started","Process Started"
"Failed to deploy to destination ""%1"". Error ""%2"". Please check your log file for more details","Failed to deploy to destination ""%1"". Error ""%2"". Please check your log file for more details"
"There is no export results","There is no export results"
"Entity ""%1"" already exists.","Entity ""%1"" already exists."
"Fields Class should return ""%1"" interface result","Fields Class should return ""%1"" interface result"
"Something went wrong while export. Please review logs","Something went wrong while export. Please review logs"
"Something went wrong while export","Something went wrong while export"
"File Path","File Path"
"The file will be saved in Magento 'var' directory relative to this path.","The file will be saved in Magento 'var' directory relative to this path."
"File Name on Server","File Name on Server"
is,is
"is not","is not"
"more or equal","more or equal"
"less or equal","less or equal"
"greater than","greater than"
"less than","less than"
"is null","is null"
"is not null","is not null"
like,like
label,label
"Fields Configuration","Fields Configuration"
"Output Prefix/Tag Name","Output Prefix/Tag Name"
Enabled,Enabled
"Prefix/Tag Name","Prefix/Tag Name"
"An additional name that is placed before the column name.","An additional name that is placed before the column name."
"Replace the name specified in the setting 'Prefix/Tag Name'.","Replace the name specified in the setting 'Prefix/Tag Name'."
"Add %1 Fields","Add %1 Fields"
"Add Selected Fields","Add Selected Fields"
"Add Fields","Add Fields"
"Delete Table","Delete Table"
"Export File","Export File"
name,name
"Wrong file destination form class: %1","Wrong file destination form class: %1"
"File Name","File Name"
"Use {{date|format}} to customize filename. Example: Filename-{{date|Y_m_d_h_i_s}}. <a href=""https://www.php.net/manual/en/function.date.php"" target=""_blank"">Here</a> you may find more options for date format.","Use {{date|format}} to customize filename. Example: Filename-{{date|Y_m_d_h_i_s}}. <a href=""https://www.php.net/manual/en/function.date.php"" target=""_blank"">Here</a> you may find more options for date format."
Filter,Filter
"Exclude Parent Entity Row If No Results Found","Exclude Parent Entity Row If No Results Found"
"Enable the setting to exclude parent entity row from the export file if the child entity doesn't have filter results relative to the parent entity.","Enable the setting to exclude parent entity row from the export file if the child entity doesn't have filter results relative to the parent entity."
"Add Filter","Add Filter"
"Additional Actions","Additional Actions"
"Wrong post processor form class: %1","Wrong post processor form class: %1"
"Export Template","Export Template"
"File Type","File Type"
"Wrong template form class: %1","Wrong template form class: %1"
"NOT LOGGED IN","NOT LOGGED IN"
"ALL GROUPS","ALL GROUPS"
"Add Header Row","Add Header Row"
"Merge Rows into One","Merge Rows into One"
"Data from multiple rows will be merged into one cell, if enabled.","Data from multiple rows will be merged into one cell, if enabled."
"Merged Rows Data Delimiter","Merged Rows Data Delimiter"
"The character that delimits each field of the child rows.","The character that delimits each field of the child rows."
"Field Delimiter","Field Delimiter"
"The character that delimits each field of the rows.","The character that delimits each field of the rows."
"Field Enclosure Character","Field Enclosure Character"
"The character that encloses each field of the rows.","The character that encloses each field of the rows."
"Prefix/Tag Delimiter","Prefix/Tag Delimiter"
"The character that separates the prefix/tag from the column name.","The character that separates the prefix/tag from the column name."
"XML Item Tag","XML Item Tag"
Header,Header
Footer,Footer
"Directory ""%1"" is not writable","Directory ""%1"" is not writable"
"Process with specified identity ""%1"" not found.","Process with specified identity ""%1"" not found."
"Unable to remove batch with ID %1. Error: %2","Unable to remove batch with ID %1. Error: %2"
"Unable to remove batch. Error: %1","Unable to remove batch. Error: %1"
Continue,Continue
Download,Download
"Regenerate File","Regenerate File"
"Field Name","Field Name"
"Field Name in Export File","Field Name in Export File"
"Static Field Value","Static Field Value"
"Add Static Field","Add Static Field"
Search,Search
Add,Add
"Multi-Process Export","Multi-Process Export"
"Enable Multi-Process Export","Enable Multi-Process Export"
"The 'Multi-Process Export' feature requires the PHP extension 'pcntl' to be installed on the server. If you enable the feature and no performance boost happens, please ask your hoster/system administrator to check if the 'pcntl' extension is installed.","The 'Multi-Process Export' feature requires the PHP extension 'pcntl' to be installed on the server. If you enable the feature and no performance boost happens, please ask your hoster/system administrator to check if the 'pcntl' extension is installed."
"Number of Parallel Processes","Number of Parallel Processes"
"The more parallel processes are set, the faster the export process goes, but the higher the server loads.","The more parallel processes are set, the faster the export process goes, but the higher the server loads."
CSV,CSV
XML,XML
"Store Exported File On Server","Store Exported File On Server"
"Export Settings","Export Settings"
"Select Entity","Select Entity"
