"block_id","title","identifier","content","creation_time","update_time","is_active"
"1","Footer Column Content 1","footer_col_1","<p>Moto offers the largest selection of leading brands in aftermarket parts for motorcycles. When buying spare moto parts you will benefit and make sure the quality of all auto parts is beyond expectations. Our Store is truly a one-stop motorcycle shop, with in-house bank finance and insurance options to suit any budget with worldwide delivery.</p>","2018-09-18 14:07:20","2019-07-11 10:29:09","1"
"2","Footer Column Content 2","footer_col_2","<dl class=""contact-info"">
    <dt>Address</dt>
    <dd>New Yourk, <br class=""hidden-mobile""> Street Avenue, NY 2540</dd>

    <dt>Phone</dt>
    <dd><a href=""tel:8001234567"">800-123-4567</a></dd>

    <dt>Email</dt>
    <dd><a href=""mailto:info@demolink.org"">info@demolink.org</a></dd>
</dl>","2018-09-18 16:10:57","2019-07-12 16:57:40","1"
"3","Footer Column 1 Title Layout 2","footer_l2_col_1_title","<h4>Information</h4>","2018-09-18 16:11:42","2019-07-12 18:21:31","1"
"4","Footer Column Content 1 Layout 2","footer_l2_col_1","<ul>
    <li><a href=""{{store direct_url=""about-us""}}"">About Us</a></li>
    <li><a href=""{{store direct_url=""customer-service""}}"">Customer Service</a></li>
    <li><a href=""{{store url=""""}}template-settings"">Template Settings</a></li>
</ul>","2018-09-18 16:12:18","2019-07-12 18:21:14","1"
"5","Footer Column Content 2 Layout 2","footer_l2_col_2","<div class=""footer-col"">
	<h4>Why buy from us</h4>
	<div class=""footer-col-content"">
	    <ul>
	        <li><a href=""{{store url=""""}}shipping-delivery"">Shipping & Delivery</a></li>
	        <li><a href=""{{store url=""""}}secure-payment"">Secure payment</a></li>
	        <li><a href=""{{store url=""""}}support"">Support</a></li>
	        <li><a href=""{{store url=""""}}guarantee"">Guarantee</a></li>
	        <li><a href=""{{store url=""""}}terms-conditions"">Terms & Conditions</a></li>
	    </ul>
	</div>
</div>","2018-09-18 16:14:40","2019-07-12 18:26:35","1"
"6","Footer Column Content 3 Layout 2","footer_l2_col_3","<div class=""footer-col"">
    <h4>My account</h4>
    <div class=""footer-col-content"">
        <ul>
            <li><a href=""{{store url='customer/account/login/'}}"">Sign In</a></li>
            <li><a href=""{{store url='checkout/cart/'}}"">View Cart</a></li>
            <li><a href=""{{store url='wishlist/'}}"">My Wishlist</a></li>
            <li><a href=""{{store url=""""}}faq"">FAQ</a></li>
        </ul>
    </div>
</div>","2018-09-18 16:26:13","2019-07-12 18:27:10","1"
"7","Footer Column Content 4 Layout 2","footer_l2_col_4","<div class=""footer-col"">
    <h4>Contacts</h4>
    <div class=""footer-col-content"">
        <dl class=""contact-info"">
            <dt class=""themeicon-telephone"">Call us 24/7!</dt>
            <dd><a href=""tel:8001234567"">800-123-4567</a></dd>

            <dt class=""themeicon-map-marker"">Adresses</dt>
            <dd>28 Jackson Blvd Ste 1020 Chicago IL 60604-2340</dd>
        </dl>
    </div>
</div>","2018-10-10 17:31:43","2019-07-12 19:08:14","1"
"8","Footer Column Content Layout 3","footer_l3_col_1","<ul class=""inline-list"">
    <li><a href=""{{store direct_url=""about-us""}}"">About Us</a></li>
    <li><a href=""{{store direct_url=""customer-service""}}"">Customer Service</a></li>
    <li><a href=""{{store url=""""}}contact"">Contact Us</a></li>
    <li><a href=""{{store url=""""}}privacy-policy-cookie-restriction-mode"">Privacy Policy</a></li>
    <li><a href=""{{store url=""""}}sales/guest/form"">Orders and Returns</a></li>
</ul>","2019-06-13 12:40:22","2019-07-13 13:00:45","1"
"9","Header Info","header_info_block","<p>Phones: <a href=""callto:6001001122"">(600) 100-1122</a>; <a href=""callto:6001003377"">(600) 100-3377</a></p>
<p>We are open: Mn - Fr: 10 am - 8 pm</p>","2019-06-20 12:26:54","2019-06-20 12:26:54","1"
"10","Top Banner","top_banner","<div class=""banner banner-big fixed"" style=""background-image: url('{{media url=&quot;wysiwyg/banner-1.jpg&quot;}}')"">
    <div class=""text-center"">
        <h5 class=""color-white"">For Sale</h5>
        <h1 class=""color-white"">Vintage Motorcycle</h1>
        <h5 class=""color-white"">Save $4000</h5>
        <a class=""action icon primary"" href=""{{store url='cruiser.html'}}"">Shop Now</a>
    </div>
</div>","2019-06-22 13:20:42","2019-08-07 16:46:42","1"
"11","Banner 1","banner_1","<div class=""banner fixed"" style=""background-image: url('{{media url=&quot;wysiwyg/banner-2.jpg&quot;}}')"">
    <div class=""text-center"">
        <h4 class=""color-white"">Special Offer</h4>
        <h2 class=""color-white"">Up To 40% Off Final Sale Items</h2>
        <a class=""action icon primary"" href=""{{store url='cruiser.html'}}"">Shop Now</a>
    </div>
</div>","2019-06-22 15:23:02","2019-08-07 16:42:36","1"
